DOI,References,Score,Title,Authors,Year,Abstract
10.1126/science.210.4468.390,[],0.659324,"Multidimensional Scaling, Tree-Fitting, and Clustering",Roger N. Shepard,1980.0,"<jats:p>American mathematical psychologists have developed computer-based methods for constructing representations of the psychological structure of a set of stimuli on the basis of pairwise measures of similarity or confusability. Applications to perceptual and semantic data illustrate how complementary aspects of the underlying psychological structure are revealed by different types of representations, including multidimensional spatial configurations and nondimensional tree-structures or clusterings."
10.1162/jocn.1991.3.1.71,[],0.650249,Eigenfaces for Recognition,Matthew Turk; Alex Pentland,1991.0,"<jats:title>Abstract</jats:title>
               <jats:p>We have developed a near-real-time computer system that can locate and track a subject's head, and then recognize the person by comparing characteristics of the face to those of known individuals. The computational approach taken in this system is motivated by both physiology and information theory, as well as by the practical requirements of near-real-time performance and accuracy. Our approach treats the face recognition problem as an intrinsically two-dimensional (2-D) recognition problem rather than requiring recovery of three-dimensional geometry, taking advantage of the fact that faces are normally upright and thus may be described by a small set of 2-D characteristic views. The system functions by projecting face images onto a feature space that spans the significant variations among known face images. The significant features are known as ""eigenfaces,"" because they are the eigenvectors (principal components) of the set of faces; they do not necessarily correspond to features such as eyes, ears, and noses. The projection operation characterizes an individual face by a weighted sum of the eigenface features, and so to recognize a particular face it is necessary only to compare these weights to those of known individuals. Some particular advantages of our approach are that it provides for the ability to learn and later recognize new faces in an unsupervised manner, and that it is easy to implement using a neural network architecture."
10.1007/bf01421486,[],0.659739,Visual learning and recognition of 3-d objects from appearance,Hiroshi Murase; Shree K. Nayar,1995.0,
10.1126/science.1908118,[],0.657327,Concurrent Processing and Complexity of Temporally Encoded Neuronal Messages in Visual Perception,John W. McClurkin; Lance M. Optican; Barry J. Richmond; Timothy J. Gawne,1991.0,"<jats:p>The intrinsic neuronal code that carries visual information and the perceptual mechanism for decoding that information are not known. However, multivariate statistics and information theory show that neurons in four visual areas simultaneously carry multiple, stimulus-related messages by utilizing multiplexed temporal codes. The complexity of these temporal messages increases progressively across the visual system, yet the temporal codes overlap in time. Thus, visual perception may depend on the concurrent processing of multiplexed temporal messages from all visual areas."
10.1121/1.395916,[],0.658907,Learning the hidden structure of speech,Jeffrey L. Elman; David Zipser,1988.0,"<jats:p>In the work described here, the backpropagation neural network learning procedure is applied to the analysis and recognition of speech. This procedure takes a set of input/output pattern pairs and attempts to learn their functional relationship; it develops the necessary representational features during the course of learning. A series of computer simulation studies was carried out to assess the ability of these networks to accurately label sounds, to learn to recognize sounds without labels, and to learn feature representations of continuous speech. These studies demonstrated that the networks can learn to label presegmented test tokens with accuracies of up to 95%. Networks trained on segmented sounds using a strategy that requires no external labels were able to recognize and delineate sounds in continuous speech. These networks developed rich internal representations that included units which corresponded to such traditional distinctions as vowels and consonants, as well as units that were sensitive to novel and nonstandard features. Networks trained on a large corpus of unsegmented, continuous speech without labels also developed interesting feature representations, which may be useful in both segmentation and label learning. The results of these studies, while preliminary, demonstrate that backpropagation learning can be used with complex, natural data to identify a feature structure that can serve as the basis for both analysis and nontrivial pattern recognition."
10.1121/1.1912239,[],0.661726,"Vowel Spectra, Vowel Spaces, and Vowel Identification",W. Klein; R. Plomp; L. C. W. Pols,1970.0,"<jats:p>Twelve Dutch vowels, each pronounced by 50 male speakers, were analyzed in 18 filter bands comparable in bandwidth with the ear's critical band. By considering the sound levels (in decibels) in these filter bands as dimensions, with a principal-component analysis the 18 dimensions per sound were reduced to four factors which together explain 75% of the total variance. The configuration of the average vowels in the factor space appeared to be highly correlated with their configuration in the F1−F2 formant plane. After matching to maximal congruence, correlation coefficients along corresponding axes were 0.997 and 0.979. Machine vowel identification, based upon the position of the individual vowels in the four-dimensional factor space, resulted (after three pairs of related vowels were grouped together) in 98% correct identifications if correction was applied for personal timbre of the speakers' voices. Ten listeners, to whom the 600 vowels were presented as 100-msec segments, gave 86% correct responses in identifying the intended vowels. The confusions between the vowel types were basis for a multidimensional scaling (Kruskal) to construct a perceptual configuration of the vowels. In four dimensions the solution showed 2.3% stress. Perceptual configuration and factor configuration, maximally matched, had correlation coefficients along corresponding axes of 0.997, 0.995, 0.907, and 0.794, respectively."
10.1126/science.1857964,[],0.661219,Computations Underlying the Execution of Movement: A Biological Perspective,Emilio Bizzi; Ferdinando A. Mussa-Ivaldi; Simon Giszter,1991.0,"<jats:p>To execute voluntary movements, the central nervous system must transform the neural representation of the direction, amplitude, and velocity of the limb, represented by the activity of cortical and subcortical neurons, into signals that activate the muscles that move the limb. This task is equivalent to solving an ""ill-posed"" computational problem because the number of degrees of freedom of the musculoskeletal apparatus is much larger than that specified in the plan of action. Some of the mechanisms and circuitry underlying the transformation of motor plans into motor commands are described. A central feature of this transformation is a coarse map of limb postures in the premotor areas of the spinal cord. Vectorial combination of motor outputs among different areas of the spinal map may produce a large repertoire of motor behaviors."
10.1126/science.269.5224.676,[],0.653412,Decadal Trends in the North Atlantic Oscillation: Regional Temperatures and Precipitation,James W. Hurrell,1995.0,"<jats:p>Greenland ice-core data have revealed large decadal climate variations over the North Atlantic that can be related to a major source of low-frequency variability, the North Atlantic Oscillation. Over the past decade, the Oscillation has remained in one extreme phase during the winters, contributing significantly to the recent wintertime warmth across Europe and to cold conditions in the northwest Atlantic. An evaluation of the atmospheric moisture budget reveals coherent large-scale changes since 1980 that are linked to recent dry conditions over southern Europe and the Mediterranean, whereas northern Europe and parts of Scandinavia have generally experienced wetter than normal conditions."
10.1046/j.1365-8711.1998.01596.x,[],0.657928,Automated classification of stellar spectra -- II. Two-dimensional classification with neural networks and principal components analysis,C. A. L. Bailer-Jones; M. Irwin; T. Von Hippel,1998.0,
10.1126/science.356262,[],0.655791,Synthetic Maps of Human Gene Frequencies in Europeans,P. Menozzi; A. Piazza; L. Cavalli-Sforza,1978.0,"<jats:p>Multivariate techniques can be used to condense the information for a large number of loci and alleles into one or a few synthetic variables. The geographic distribution of synthetic variables can be plotted by the same technique used in mapping the gene frequency of a single allele. Synthetic maps were constructed for Europe and the Near East, with the use of principal components to condense the information of 38 independent alleles from ten loci. The first principal component summarizes close to 30 percent of the total information and shows gradients. Maps thus constructed show clines in remarkable agreement with those expected on the basis of the spread of early farming in Europe, thus supporting the hypothesis that this spread was a demic spread rather than a cultural diffusion of farming technology."
10.1038/326689a0,[],0.655544,An analogue approach to the travelling salesman problem using an elastic net method,Richard Durbin; David Willshaw,1987.0,
10.1007/978-3-662-00784-6_5,[],0.657996,Self-Organizing Feature Maps,Teuvo Kohonen,1988.0,
10.1016/0165-1684(94)90029-9,[],0.655872,"Independent component analysis, A new concept?",Pierre Comon,1994.0,
10.1162/neco.1995.7.6.1129,[],0.656806,An Information-Maximization Approach to Blind Separation and Blind Deconvolution,Anthony J. Bell; Terrence J. Sejnowski,1995.0,"<jats:p> We derive a new self-organizing learning algorithm that maximizes the information transferred in a network of nonlinear units. The algorithm does not assume any knowledge of the input distributions, and is defined here for the zero-noise limit. Under these conditions, information maximization has extra properties not found in the linear case (Linsker 1989). The nonlinearities in the transfer function are able to pick up higher-order moments of the input distributions and perform something akin to true redundancy reduction between units in the output representation. This enables the network to separate statistically independent components in the inputs: a higher-order generalization of principal components analysis. We apply the network to the source separation (or cocktail party) problem, successfully separating unknown mixtures of up to 10 speakers. We also show that a variant on the network architecture is able to perform blind deconvolution (cancellation of unknown echoes and reverberation in a speech signal). Finally, we derive dependencies of information transfer on time delays. We suggest that information maximization provides a unifying framework for problems in ""blind"" signal processing. "
10.1126/science.1251207,[],0.657722,Perceptual Illusion of Rotation of Three-Dimensional Objects,Roger N. Shepard; Sherryl A. Judd,1976.0,"<jats:p>Perspective views of the same three-dimensional object in two orientations, when presented in alternation, produced an illusion of rigid rotation. The minimum cycle duration required for the illusion increased linearly with the angular difference between the orientations and at the same slope for rotations in depth and in the picture plane."
10.1098/rspb.1978.0020,[],0.662402,Representation and recognition of the spatial organization of three-dimensional shapes,,1978.0,"<jats:p>
            The human visual process can be studied by examining the computational problems associated with deriving useful information from retinal images. In this paper, we apply this approach to the problem of representing three-dimensional shapes for the purpose of recognition. 1. Three criteria,
            <jats:italic>accessibility, scope and uniqueness</jats:italic>
            , and
            <jats:italic>stability and sensitivity</jats:italic>
            , are presented for judging the usefulness of a representation for shape recognition. 2. Three aspects of a representation’s design are considered, (i) the representation’s coordinate system, (ii) its primitives, which are the primary units of shape information used in the representation, and (iii) the organization the representation imposes on the information in its descriptions. 3. In terms of these design issues and the criteria presented, a shape representation for recognition should: (i) use an object-centred coordinate system, (ii) include volumetric primitives of varied sizes, and (iii) have a modular organization. A representation based on a shape’s natural axes (for example the axes identified by a stick figure) follows directly from these choices. 4. The basic process for deriving a shape description in this representation must involve: (i) a means for identifying the natural axes of a shape in its image and (ii) a mechanism for transforming viewer-centred axis specifications to specifications in an object-centred coordinate system. 5. Shape recognition involves: (i) a collection of stored shape descriptions, and (ii) various indexes into the collection that allow a newly derived description to be associated with an appropriate stored description. The most important of these indexes allows shape recognition to proceed conservatively from the general to the specific based on the specificity of the information available from the image. 6. New constraints supplied by a conservative recognition process can be used to extract more information from the image. A relaxation process for carrying out this constraint analysis is described.
          "
10.1145/356924.356930,[],0.661105,The Quadtree and Related Hierarchical Data Structures,Hanan Samet,1984.0,
10.1016/0004-3702(81)90025-4,[],0.661882,Inferring surfaces from images,Thomas O. Binford,1981.0,
10.1145/356869.356871,[],0.66099,Computational Approaches to Image Understanding,Michael Brady,1982.0,
10.1115/1.3426923,[],0.661095,Data Storage in the Cerebellar Model Articulation Controller (CMAC),J. S. Albus,1975.0,"<jats:p>The storage of manipulator control functions in the CM AC memory is accomplished by an iterative process which, if the control function is sufficiently smooth, will converge. There are several different techniques for loading the CM AC memory depending on the amount of data which has already been stored and the degree of accuracy which is desired. The CM AC system lends itself to a “natural” partitioning of the control problem into manageable subproblems. At each level the CM AC controller translates commands from the next higher level into sequences of instructions to the next lower level. Data storage, or training, is accomplished first at the lowest level and must be completed, or nearly so, at each level before it can be initiated at the next higher level."
10.1115/1.3426922,[],0.659134,A New Approach to Manipulator Control: The Cerebellar Model Articulation Controller (CMAC),J. S. Albus,1975.0,"<jats:p>CM AC is an adaptive system by which control functions for many degrees of freedom operating simultaneously can be computed by referring to a table rather than by mathematical solution of simultaneous equations. CM AC combines input commands and feedback variables into an input vector which is used to address a memory where the appropriate output variables are stored. Each address consists of a set of physical memory locations, the arithmetic sum of whose contents is the value of the stored variable. The CM AC memory addressing algorithm takes advantage of the continuous nature of the control function in a way which promises to make it possible to store the necessary data in a physical memory of practical size."
10.1109/2.29,[],0.662018,Neural nets for adaptive filtering and adaptive pattern recognition,B. Widrow; R. Winter,1988.0,
10.3138/9781487576752,[],0.662032,A Triune Concept of the Brain and Behaviour,Paul MacLean,1973.0,
10.1016/0025-5564(71)90051-4,[],0.661335,A theory of cerebellar function,James S. Albus,1971.0,
10.1016/0004-3702(87)90050-6,[],0.661855,SOAR: An architecture for general intelligence,John E. Laird; Allen Newell; Paul S. Rosenbloom,1987.0,
10.1145/356810.356816,[],0.661976,The Hearsay-II Speech-Understanding System: Integrating Knowledge to Resolve Uncertainty,Lee D. Erman; Frederick Hayes-Roth; Victor R. Lesser; D. Raj Reddy,1980.0,
10.1016/b978-1-55860-092-8.50012-5,[],0.660859,Constraint-Directed Negotiation of Resource Reallocations,Arvind Sathi; Mark S. Fox,1989.0,
10.1016/s0921-8890(05)80030-2,[],0.661656,Internalized plans: A representation for action resources,David W. Payton,1990.0,
10.1037/11494-000,[],0.66159,The origins of intelligence in children.,Jean Piaget,1952.0,
10.1016/0025-5564(79)90063-4,[],0.663105,Mechanisms of planning and problem solving in the brain,James S. Albus,1979.0,
10.1007/978-94-009-7758-7,[],0.661593,Studies of Mind and Brain,Stephen Grossberg,1982.0,
10.1037/h0029767,[],0.667235,On the formation of psychological traits.,Anne Anastasi,1970.0,
10.1037/0003-066x.38.2.175,[],0.665524,Evolving trait concepts.,Anne Anastasi,1983.0,
10.1002/j.1556-6676.1985.tb01015.x,[],0.667592,Interpreting Results from Multiscore Batteries,ANNE ANASTASI,1985.0,
10.1146/annurev.ps.37.020186.000245,[],0.667339,Evolving Concepts of Test Validation,Anne Anastasi,1986.0,
10.1037/0033-2909.93.1.179,[],0.666691,Construct validity: Construct representation versus nomothetic span.,Susan E. Whitely,1983.0,
10.1037/0021-9010.72.3.457,[],0.66806,Stability of skilled performance across time: Some generalizations and limitations on utilities.,Rebecca A. Henry; Charles L. Hulin,1987.0,
10.1037/0003-066x.35.11.1012,[],0.667702,Test validity and the ethics of assessment.,Samuel Messick,1980.0,
10.1037/0003-066x.36.10.1181,[],0.666444,Testing and cognitive psychology.,Robert J. Sternberg,1981.0,
10.1146/annurev.ps.29.020178.001143,[],0.669643,Toward Assessment of Personal Competence and Incompetence in Life Situations,N D Sundberg; L R Snowden; W M Reynolds,1978.0,
10.1007/bf02084158,[],0.654128,The thermodynamics of computation—a review,Charles H. Bennett,1982.0,
10.1109/tit.1974.1055172,[],0.652887,Information-theoretic computation complexity,G. Chaitin,1974.0,
10.1145/321832.321839,[],0.65488,Information-Theoretic Limitations of Formal Systems,Gregory J. Chaitin,1974.0,"<jats:p>An attempt is made to apply information-theoretic computational complexity to meta-mathematics. The paper studies the number of bits of instructions that must be given to a computer for it to perform finite and infinite tasks, and also the time it takes the computer to perform these tasks. This is applied to measuring the difficulty of proving a given set of theorems, in terms of the number of bits of axioms that are assumed, and the size of the proofs needed to deduce the theorems from the axioms."
10.1038/scientificamerican0575-47,[],0.653252,Randomness and Mathematical Proof,Gregory J. Chaitin,1975.0,
10.1145/321892.321894,[],0.674613,A Theory of Program Size Formally Identical to Information Theory,Gregory J. Chaitin,1975.0,
10.1147/rd.214.0350,[],0.654274,Algorithmic Information Theory,G. J. Chaitin,1977.0,
10.1002/cpa.3160310407,[],0.654227,A note on monte carlo primality tests and algorithmic information theory,Gregory J. Chaitin; Jacob T. Schwartz,1978.0,
10.1090/pspum/028.2/0432534,[],0.653532,Hilbert’s tenth problem: Diophantine equations: positive aspects of a negative solution,Martin Davis; Yuri Matijasevič; Julia Robinson,1976.0,
10.1007/978-1-4613-9435-8_10,[],0.653553,What is a Computation?,Martin Davis,1978.0,
10.1038/scientificamerican1179-20,[],0.654647,Mathematical Games,Martin Gardner,1979.0,
10.1080/00029890.1982.11995373,[],0.654942,The Disk with the College Education,Herbert S. Wilf,1982.0,
10.1037/0003-066x.51.2.77,[],0.66765,Intelligence: Knowns and unknowns.,Ulric Neisser; Gwyneth Boodoo; Thomas J. Bouchard; A. Wade Boykin; Nathan Brody; Stephen J. Ceci; Diane F. Halpern; John C. Loehlin; Robert Perloff; Robert J. Sternberg; Susana Urbina,1996.0,
10.1037/h0038215,[],0.664491,Behavior and heredity.,Ellis B. Page,1972.0,
10.1037/0003-066x.42.2.137,[],0.667954,Survey of expert opinion on intelligence and aptitude testing.,Mark Snyderman; Stanley Rothman,1987.0,
10.1037/0033-2909.102.1.3,[],0.668838,Individual differences in skill learning: An integration of psychometric and information processing perspectives.,Phillip L. Ackerman,1987.0,
10.1016/0001-8791(86)90017-5,[],0.666518,General ability in employment: A discussion,Richard D Arvey,1986.0,
10.1111/j.1744-6570.1991.tb00688.x,[],0.663179,THE BIG FIVE PERSONALITY DIMENSIONS AND JOB PERFORMANCE: A META‐ANALYSIS,MURRAY R. BARRICK; MICHAEL K. MOUNT,1991.0,"<jats:p>This study investigated the relation of the “Big Five” personality dimensions (Extraversion, Emotional Stability, Agreeableness, Conscientiousness, and Openness to Experience) to three job performance criteria (job proficiency, training proficiency, and personnel data) for five occupational groups (professionals, police, managers, sales, and skilled/semi‐skilled). Results indicated that one dimension of personality, Conscientiousness, showed consistent relations with all job performance criteria for all occupational groups. For the remaining personality dimensions, the estimated true score correlations varied by occupational group and criterion type. Extraversion was a valid predictor for two occupations involving social interaction, managers and sales (across criterion types). Also, both Openness to Experience and Extraversion were valid predictors of the training proficiency criterion (across occupations). Other personality dimensions were also found to be valid predictors for some occupations and some criterion types, but the magnitude of the estimated true score correlations was small (ρ &lt; .10). Overall, the results illustrate the benefits of using the 5‐factor model of personality to accumulate and communicate empirical findings. The findings have numerous implications for research and practice in <jats:sc>personnel psychology</jats:sc>, especially in the subfields of personnel selection, training and development, and performance appraisal."
10.1037/0021-9010.78.3.443,[],0.668117,Role of early supervisory experience in supervisor performance.,Walter C. Borman; Mary Ann Hanson; Scott H. Oppler; Elaine D. Pulakos; Leonard A. White,1993.0,
10.1037/0021-9010.80.1.168,[],0.669821,Effects of ratee task performance and interpersonal factors on supervisor and peer performance ratings.,Walter C. Borman; Leonard A. White; David W. Dorsey,1995.0,
10.1037/0021-9010.76.6.863,[],0.668841,Models of supervisory job performance ratings.,Walter C. Borman; Leonard A. White; Elaine D. Pulakos; Scott H. Oppler,1991.0,
10.5465/amr.1988.4306775,[],0.664534,Task Complexity: A Review and Analysis,Donald J. Campbell,1988.0,
10.1016/s0160-2896(97)90012-x,[],0.66621,"Psychometrics, intelligence, and public perception",John B. Carroll,1997.0,
10.1037/0003-066x.50.11.928,[],0.66958,Whither industrial and organizational psychology in a changing world of work?,Wayne F. Cascio,1995.0,
10.1037/0096-3445.115.3.255,[],0.668664,"A day at the races: A study of IQ, expertise, and cognitive complexity.",Stephen J. Ceci; Jeffrey K. Liker,1986.0,
10.1016/s0160-2896(97)90017-9,[],0.670097,Everyday life as an intelligence test: Effects of intelligence and intelligence context,Robert A. Gordon,1997.0,
10.1037/0021-9010.65.6.697,[],0.666171,"Construct validity of Holland's occupational typology in terms of prestige, census, Department of Labor, and other classification systems.",Linda S. Gottfredson,1980.0,
10.1016/0001-8791(86)90008-4,[],0.664813,Occupational Aptitude Patterns Map: Development and implications for a theory of job aptitude requirements,Linda S Gottfredson,1986.0,
10.1016/0001-8791(84)90018-6,[],0.668518,Explaining the adult careers of dyslexic boys: Variations in critical skills for high-level jobs,Linda S Gottfredson; Joan M Finucci; Barton Childs,1984.0,
10.1037/0021-9010.68.4.602,[],0.668401,Moderating effects of decision-making/information-processing job dimensions on test validities.,Rhonda L. Gutenberg; Richard D. Arvey; Hobart G. Osburn; P. R. Jeanneret,1983.0,
10.1016/0001-8791(86)90013-8,[],0.671356,"Cognitive ability, cognitive aptitudes, job knowledge, and job performance",John E Hunter,1986.0,
10.1037/0033-2909.96.1.72,[],0.666899,Validity and utility of alternative predictors of job performance.,John E. Hunter; Ronda F. Hunter,1984.0,
10.1037/0021-9010.75.1.28,[],0.668498,Individual differences in output variability as a function of job complexity.,John E. Hunter; Frank L. Schmidt; Michael K. Judiesch,1990.0,
10.1017/s0140525x0000577x,[],0.668186,What intuitions about homunculi don't show,Ned Block,1980.0,
10.1017/s0140525x00001515,[],0.662807,Rules and representations,Noam Chomsky,1980.0,"<jats:title>Abstract</jats:title><jats:p>The book from which these sections are excerpted (N. Chomsky,<jats:italic>Rules and Representations</jats:italic>, Columbia University Press, 1980) is concerned with the prospects for assimilating the study of human intelligence and its products to the natural sciences through the investigation of cognitive structures, understood as systems of rules and representations that can be regarded as “mental organs.” These mental structui′es serve as the vehicles for the exercise of various capacities. They develop in the mind on the basis of an innate endowment that permits the growth of rich and highly articulated structures along an intrinsically determined course under the triggering and partially shaping effect of experience, which fixes parameters in an intricate system of predetermined form. It is argued that the mind is modular in character, with a diversity of cognitive structures, each with its specific properties arid principles. Knowledge of language, of the behavior of objects, and much else crucially involves these mental structures, and is thus not characterizable in terms of capacities, dispositions, or practical abilities, nor is it necessarily grounded in experience in the standard sense of this term.<jats:p>Various types of knowledge and modes of knowledge acquisition are discussed in these terms. Some of the properties of the language faculty are investigated. The basic cognitive relation is “knowing a grammar”; knowledge of language is derivative and, correspondingly, raises further problems. Language as commonly understood is not a unitary phenomenon but involves a number of interacting systems: the “computational” system of grammar, which provides the representations of sound and meaning that permit a rich range of expressive potential, is distinct from a conceptual system with its own properties; knowledge of language must be distinguished from knowledge of how to use a language; and the various systems that enter into the knowledge and use of language must be further analyzed into their specific subcomponents."
10.1017/s0140525x00059859,[],0.666544,Why not the whole iguana?,Daniel C. Dennett,1978.0,
10.1017/s0140525x00058611,[],0.666907,Précis of <i>The Intentional Stance</i>,Daniel C. Dennett,1988.0,"<jats:title>Abstract</jats:title>
	  <jats:p>The intentional stance is the strategy of prediction and explanation that attributes beliefs, desires, and other “intentional” states to systems – living and nonliving – and predicts future behavior from what it would be rational for an agent to do, given those beliefs and desires. Any system whose performance can be thus predicted and explained is an <jats:italic>intentional system</jats:italic>, whatever its innards. The strategy of treating parts of the world as intentional systems is the foundation of “folk psychology,” but is also exploited (and is virtually unavoidable) in artificial intelligence and cognitive science more generally, as well as in evolutionary theory. An analysis of the role of the intentional stance and its presuppositions supports a naturalistic theory of mental states and events, their <jats:italic>content or intentionality</jats:italic>, and the relation between “mentalistic” levels of explanation and neurophysiological or mechanistic levels of explanation. As such, the analysis of the intentional stance grounds a theory of the mind and its relation to the body."
10.1017/s0140525x00001771,[],0.665983,Methodological solipsism considered as a research strategy in cognitive psychology,J. A. Fodor,1980.0,"<jats:title>Abstract</jats:title><jats:p>The paper explores the distinction between two doctrines, both of which inform theory construction in much of modern cognitive psychology: the representational theory of mind and the computational theory of mind. According to the former, propositional attitudes are to be construed as relations that organisms bear to mental representations. According to the latter, mental processes have access only to formal (nonsemantic) properties of the mental representations over which they are defined.<jats:p>The following claims are defended: (1) That the traditional dispute between “rational” and “naturalistic” psychology is plausibly viewed as an argument about the status of the computational theory of mind. Rational psychologists accept a formality condition on the specification of mental processes; naturalists do not. (2) That to accept the formality condition is to endorse a version of methodological solipsism. (3) That the acceptance of some such condition is warranted, at least for that part of psychology which concerns itself with theories of the mental causation of behavior. This is because: (4) such theories require nontransparent taxonomies of mental states; and (5) nontransparent taxonomies individuate mental states without reference to their semantic properties. Equivalently, (6) nontransparent taxonomies respect the way that the organism represents the object of its propositional attitudes to<jats:italic>itself</jats:italic>, and it is this representation which functions in the causation of behavior.<jats:p>The final section of the paper considers the prospect for a naturalistic psychology: one which defines its generalizations over relations between mental representations and their environmental causes, thus seeking to account for the semantic properties of propositional attitudes. Two related arguments are proposed, both leading to the conclusion that no such research strategy is likely to prove fruitful."
10.1017/s0140525x0001921x,[],0.666119,Précis of <i>The Modularity of Mind</i>,Jerry A. Fodor,1985.0,"<jats:title>Abstract</jats:title><jats:p><jats:italic>The Modularity of Mind</jats:italic> proposes an alternative to the “New Look” or “interaetionist” view of cognitive architecture that has dominated several decades of cognitive science. Whereas interactionism stresses the continuity of perceptual and cognitive processes, modularity theory argues for their distinctness. It is argued, in particular, that the apparent plausibility of New Look theorizing derives from the failure to distinguish between the (correct) claim that perceptual processes are <jats:italic>inferential</jats:italic> and the (dubious) claim that they are <jats:italic>unencapsidated</jats:italic>, that is, that they are arbitrarily sensitive to the organism's beliefs and desires. In fact, according to modularity theory, perceptual processes are computationally isolated from much of the background knowledge to which cognitive processes have access. The postulation of autonomous, domain-specific psychological mechanisms underlying perceptual integration connects modularity theory with the tradition of faculty psychology, in particular, with the work of Franz Joseph Call. Some of these historical affinities, and some of the relations between faculty psychology and Cartesianism, are discussed in the book."
10.1093/brain/88.2.237,[],0.663611,DISCONNEXION SYNDROMES IN ANIMALS AND MAN,NORMAN GESCHWIND,1965.0,
10.1111/j.1749-6632.1976.tb25468.x,[],0.666005,A HYPOTHESIS ABOUT THE UNIQUENESS OF NATURAL LANGUAGE*,Jerrold J. Katz,1976.0,
10.1017/s0140525x00013959,[],0.661898,Multiple representations of space underlying behavior,Israel Lieblich; Michael A. Arbib,1982.0,"<jats:title>Abstract</jats:title><jats:p>We argue that a map is meaningless unless we have a process for using it. Thus, in this paper, we not only offer the world graph as a representation of relationships among situations the animal has encountered and may encounter again, but we also offer algorithms for how the information encoded in the world graph may be used by the animal in determining its behavior. Each node of the graph encodes a recognizable situation in the animal's world, but a given place may well be encoded in a number of different nodes. Nodes not only require algorithms for the recognition of the situation; they store information about drive reduction associated with the encoded situation. We note that the use of graphs as a basis for exploring some search space is well known in artificial intelligence (AI), but we stress the importance of the animal's exploration of its environment for growing the graph, as distinct from the mathematically described potential nodes frequent in AI search spaces. To explore a number of hypotheses about the way information in the world graph is used to guide the animal's movement, we recall a number of classical experiments on maze exploration by animals, and use them to argue for the nonlocal hypothesis (selection of a path does not depend only upon information about the immediate environment of the animal) and the competing nodes hypothesis (more than one drive may enter into the determination of the animal's behavior at any time). An important feature of the model is that it yields exploration and latent learning without the introduction of an exploratory drive. We also note that the performance exhibited by the model appears to be state-dependent when the animal operates under high drive levels. The drive-interaction matrix is offered as a subject for future research.<jats:p>We complement the presentation of the world graph model, its drive dynamics, and how these are constrained by experiments on maze behavior, with a brief analysis of maps in the brain. We distinguish egocentric maps–which we relate to the many visual systems–from allocentric maps. We offer a somewhat unconventional view of short-term and long-term memory. We examine cooperative computation in somatotopically organized networks, relating this to visually guided behavior in the frog, and to the interaction of colliculus and cortex in the control of eye movements. We examine, but do not advocate, the hypothesis that the hippocampus is a cognitive map. We do stress that if it is a cognitive map, it must be seen as a chart of the local neighborhood, rather than the whole atlas; and we note that the cognitive map hypothesis would lead one to expect the region to exhibit activation of place cells before the animal leaves the previous place."
10.1017/s0031819100057983,[],0.667055,"Minds, Machines and Gödel",J. R. Lucas,1961.0,"<jats:p>Gödei's Theorem seems to me to prove that Mechanism is false, that is, that minds cannot be explained as machines. So also has it seemed to many other people: almost every mathematical logician I have put the matter to has confessed to similar thoughts, but has felt reluctant to commit himself definitely until he could see the whole argument set out, with all objections fully stated and properly met. This I attempt to do."
10.1109/18.720554,[],0.664508,The minimum description length principle in coding and modeling,A. Barron; J. Rissanen; Bin Yu,1998.0,
10.1016/s0019-9958(75)90261-2,[],0.670573,Toward a mathematical theory of inductive inference,Lenore Blum; Manuel Blum,1975.0,
10.1007/978-94-010-3578-1,[],0.665664,The Methods of Contemporary Thought,J. M. BocheŃski,1965.0,
10.1007/978-3-642-67075-6,[],0.663824,The Structure and Measurement of Intelligence,Hans J. Eysenck,1979.0,
10.1016/s0019-9958(67)91165-5,[],0.663402,Language identification in the limit,E Mark Gold,1967.0,
10.2307/2183532,[],0.664546,The Inference to the Best Explanation,Gilbert H. Harman,1965.0,
10.1145/141420.141422,[],0.662152,The Turing Test is not a trick,Stevan Harnad,1992.0,"<jats:p>It is important to understand that the Turing Test (TT) is not, nor was it intended to be, a trick; how well one can fool someone is not a measure of scientific progress. The TT is an empirical criterion: It sets AI's empirical goal to be to generate human scale performance capacity. This goal will be met when the candidate's performance is totally indistinguishable from a human's. Until then, the TT simply represents what it is that AI must endeavor eventually to accomplish scientifically."
10.1007/978-1-4757-2606-0,[],0.667542,An Introduction to Kolmogorov Complexity and Its Applications,Ming Li; Paul Vitányi,1997.0,
10.1126/science.283.5398.77,[],0.665577,Rule Learning by Seven-Month-Old Infants,G. F. Marcus; S. Vijayan; S. Bandi Rao; P. M. Vishton,1999.0,"<jats:p>A fundamental task of language acquisition is to extract abstract algebraic rules. Three experiments show that 7-month-old infants attend longer to sentences with unfamiliar structures than to sentences with familiar structures. The design of the artificial language task used in these experiments ensured that this discrimination could not be performed by counting, by a system that is sensitive only to transitional probabilities, or by a popular class of simple neural network models. Instead, these results suggest that infants can represent, extract, and generalize abstract algebraic rules."
10.1109/18.481776,[],0.663823,Fisher information and stochastic complexity,J.J. Rissanen,1996.0,
10.1016/s0022-0000(73)80030-3,[],0.663996,Process complexity and effective random tests,C.P. Schnorr,1973.0,
10.1109/18.144706,[],0.668363,Universal prediction of individual sequences,M. Feder; N. Merhav; M. Gutman,1992.0,
10.1016/s0893-6080(96)00127-x,[],0.665107,Discovering Neural Nets with Low Kolmogorov Complexity and High Generalization Capability,Jürgen Schmidhuber,1997.0,
