DOI,Title,Authors,Year,References,Score,Layer
10.1287/mnsc.28.1.1,"State of the Art—A Survey of Partially Observable Markov Decision Processes: Theory, Models, and Algorithms",George E. Monahan,1982.0,,,2
10.1613/jair.277,Planning for Contingencies: A Decision-based Approach,L. Pryor; G. Collins,1996.0,,,2
10.1287/opre.21.5.1071,The Optimal Control of Partially Observable Markov Processes over a Finite Horizon,Richard D. Smallwood; Edward J. Sondik,1973.0,,,2
10.1287/opre.26.2.282,The Optimal Control of Partially Observable Markov Processes over the Infinite Horizon: Discounted Costs,Edward J. Sondik,1978.0,,,2
10.1016/0167-6377(90)90022-w,"Solving H-horizon, stationary Markov decision problems in time proportional to log(H)",Paul Tseng,1990.0,"['10.1007/bf02579150', '10.1016/0022-0000(85)90045-5', '10.1287/moor.12.3.441', '10.1214/aoms/1177697379']",0.66324,2
10.1007/bf00934845,Application of Jensen's inequality to adaptive suboptimal design,C. C. White; D. P. Harrington,1980.0,"['10.1109/proc.1976.10293', '10.1007/978-3-642-45470-7', '10.1016/0022-247x(69)90163-2', '10.1016/0022-247x(65)90154-x', '10.1109/tac.1976.1101383', '10.1109/tac.1974.1100635']",0.663768,2
10.1007/bf02204836,A survey of solution techniques for the partially observed Markov decision process,Chelsea C. White,1991.0,"['10.1016/0022-247x(65)90154-x', '10.1016/0022-247x(69)90163-2', '10.1287/opre.39.1.162', '10.1287/mnsc.28.1.1', '10.1137/0318028', '10.1287/opre.30.2.301', '10.1287/mnsc.24.11.1127', '10.1287/opre.21.5.1071', '10.1287/opre.26.2.282', '10.1007/bf00934845', '10.1287/opre.37.5.791', '10.1016/0377-2217(89)90348-2', '10.1287/inte.18.5.55']",0.665321,2
10.1287/opre.37.5.791,Solution Procedures for Partially Observed Markov Decision Processes,Chelsea C. White; William T. Scherer,1989.0,,,2
10.1016/0304-3975(95)00188-3,The complexity of mean payoff games on graphs,Uri Zwick; Mike Paterson,1996.0,"['10.1016/0304-3975(93)90357-y', '10.1145/146585.146588', '10.1016/0166-218x(92)90039-d', '10.1137/s0097539793245829', '10.1016/0890-5401(92)90048-k', '10.1007/bf01768705', '10.1016/0304-3975(93)90026-p', '10.1016/0304-3975(93)90356-x', '10.1016/0041-5553(88)90012-2', '10.1016/0012-365x(78)90011-0', '10.1007/bf01580616', '10.1006/inco.1995.1035', '10.1016/0304-3975(80)90061-4', '10.1007/bf01586040', '10.1137/0204018', '10.1002/net.3230210206']",0.662742,2
10.1016/0166-2236(93)90081-v,Long-term depression of excitatory synaptic transmission and its relationship to long-term potentiation,Alain Artola; Wolf Singer,1993.0,,,3
10.1038/347069a0,Different voltage-dependent thresholds for inducing long-term depression and long-term potentiation in slices of rat visual cortex,A. Artola; S. Bröcher; W. Singer,1990.0,,,3
10.1038/320172a0,Modulation of visual cortical plasticity by acetylcholine and noradrenaline,Mark F. Bear; Wolf Singer,1986.0,,,3
10.1523/jneurosci.10-03-00909.1990,Disruption of experience-dependent synaptic modifications in striate cortex by infusion of an NMDA receptor antagonist,MF Bear; A Kleinschmidt; QA Gu; W Singer,1990.0,,,3
10.1038/346724a0,Presynaptic mechanism for long-term potentiation in the hippocampus,John M. Bekkers; Charles F. Stevens,1990.0,,,3
10.1016/0022-510x(73)90175-5,"Brain dopamine and the syndromes of Parkinson and Huntington Clinical, morphological and neurochemical correlations",H. Bernheimer; W. Birkmayer; O. Hornykiewicz; K. Jellinger; F. Seitelberger,1973.0,,,3
10.1073/pnas.90.17.8277,A correlational model for the development of disparity selectivity in visual cortex that depends on prenatal and postnatal phases.,G S Berns; P Dayan; T J Sejnowski,1993.0,,,3
10.1523/jneurosci.02-01-00032.1982,Theory for the development of neuron selectivity: orientation specificity and binocular interaction in visual cortex,EL Bienenstock; LN Cooper; PW Munro,1982.0,,,3
10.1038/361031a0,A synaptic model of memory: long-term potentiation in the hippocampus,T. V. P. Bliss; G. L. Collingridge,1993.0,,,3
10.1113/jphysiol.1973.sp010273,Long‐lasting potentiation of synaptic transmission in the dentate area of the anaesthetized rabbit following stimulation of the perforant path,T. V. P. Bliss; T. Lømo,1973.0,,,3
10.1016/0014-2999(91)90505-k,Possible involvement of nitric oxide in long-term potentiation,Georg A. Böhme; Christelle Bon; Jean-Marie Stutzmann; Adam Doble; Jean-Charles Blanchard,1991.0,,,3
10.1038/315409a0,Position-dependent properties of retinal axons and their growth cones,Friedrich Bonhoeffer; Julita Huf,1985.0,,,3
10.1073/pnas.86.20.8113,"Synaptic plasticity in rat hippocampal slice cultures: local ""Hebbian"" conjunction of pre- and postsynaptic stimulation leads to distributed synaptic enhancement.",T Bonhoeffer; V Staiger; A Aertsen,1989.0,,,3
10.1016/0896-6273(92)90104-l,"Nitric oxide, a novel neuronal messenger",David S. Bredt; Solomon H. Snyder,1992.0,,,3
10.1016/s0166-4328(05)80288-8,Facilitation and recovery of shuttle box avoidance behavior after frontal cortex lesions in induced by a contingent electrical stimulation in the ventral tegmental nucleus,Manuel A. Castro-Alamancos; José Borrell,1992.0,,,3
10.7551/mitpress/2010.001.0001,The Computational Brain,Patricia S. Churchland; Terrence J. Sejnowski,1992.0,,,3
10.1038/332444a0,Receptive fields in the body-surface map in adult cortex defined by temporally correlated inputs,Sharon A. Clark; Terry Allard; William M. Jenkins; Michael M. Merzenich,1988.0,,,3
10.1073/pnas.84.12.4342,N-methyl-D-aspartate receptor antagonist desegregates eye-specific stripes.,H T Cline; E A Debski; M Constantine-Paton,1987.0,,,3
10.1038/337129a0,The recent excitement about neural networks,Francis Crick,1989.0,,,3
10.1001/archneur.1985.04060030081013,Amnesia Following Basal Forebrain Lesions,A. R. Damasio; N. R. Graff-Radford; P. J. Eslinger; H. Damasio; N. Kassell,1985.0,,,3
10.1038/366059a0,An identified neuron mediates the unconditioned stimulus in associative olfactory learning in honeybees,Martin Hammer,1993.0,,,3
10.1523/jneurosci.15-03-01617.1995,Learning and memory in the honeybee,M Hammer; R Menzel,1995.0,,,3
10.3758/bf03200017,Analysis of choice in honeybees,P. A. Couvillon; M. E. Bitterman,1985.0,,,3
10.3758/bf03200062,Performance of honeybees in reversal and ambiguous-cue problems: Tests of a choice model,P. A. Couvillon; M. E. Bitterman,1986.0,,,3
10.3758/bf03197899,Learning in honeybees as a function of amount of reward: Rejection of the equal-asymptote assumption,P. A. Couvillon; Younglim Lee; M. E. Bitterman,1991.0,,,3
10.1007/bf00172219,Memory dynamics and foraging strategies of honeybees,Uwe Greggers; Randolf Menzel,1993.0,,,3
10.1007/978-1-4615-2814-2_4,"Functional Organization of Appetitive Learning and Memory in a Generalist Pollinator, the Honey Bee",Randolf Menzel; Uwe Greggers; Martin Hammer,1993.0,,,3
10.1126/science.1887231,Animal Choice Behavior and the Evolution of Cognitive Architecture,Leslie A. Real,1991.0,,,3
10.2307/1936663,Uncertainty and Pollinator‐Plant Interactions: The Foraging Behavior of Bees and Wasps on Artificial Flowers,Leslie A. Real,1981.0,,,3
10.2307/1938384,Why are Bumble Bees Risk Averse?,Lawrence D. Harder; Leslie A. Real,1987.0,,,3
10.2307/1938299,Short‐Term Energy Maximization and Risk‐Aversion in Bumble Bees: A Reply to Possingham Et Al.,Leslie Real; Stephen Ellner; Lawrence D. Harder,1990.0,,,3
10.1038/275027a0,Test of optimal sampling by foraging great tits,John R. Krebs; Alejandro Kacelnik; Peter Taylor,1978.0,,,3
10.1073/pnas.72.2.710,Quantitation of the sensory response in bacterial chemotaxis.,J L Spudich; D E Koshland,1975.0,,,3
10.1007/bf00218409,Two forms of sensitization of the local bending reflex of the medicinal leech,S. R. Lockery; W. B. Kristan,1991.0,,,3
10.1007/bf00217108,"Different effects of the biogenic amines dopamine, serotonin and octopamine on the thoracic and abdominal portions of the escape circuit in the cockroach",RonaldS. Goldstein; JeffreyM. Camhi,1991.0,,,3
10.1523/jneurosci.15-01-00342.1995,Dopamine modulation of transient potassium current evokes phase shifts in a central pattern generator network,RM Harris-Warrick; LM Coniglio; N Barazangi; J Guckenheimer; S Gueron,1995.0,,,3
10.1523/jneurosci.13-03-00900.1993,Responses of monkey dopamine neurons to reward and conditioned stimuli during successive steps of learning a delayed response task,W Schultz; P Apicella; T Ljungberg,1993.0,,,3
10.1109/tsmc.1983.6313077,Neuronlike adaptive elements that can solve difficult learning control problems,Andrew G. Barto; Richard S. Sutton; Charles W. Anderson,1983.0,,,3
10.1016/0006-8993(92)90110-u,Agonists of cholinergic and noradrenergic receptors facilitate synergistically the induction of long-term potentiation in slices of rat visual cortex,Susanne Bröcher; Alain Artola; Wolf Singer,1992.0,,,3
10.1016/0306-4522(89)90354-0,Involvement of the amygdala in stimulus-reward associations: Interaction with the ventral striatum,M. Cador; T.W. Robbins; B.J. Everitt,1989.0,,,3
10.1523/jneurosci.03-08-01599.1983,Relations between movement and single cell discharge in the substantia nigra of the behaving monkey,MR DeLong; MD Crutcher; AP Georgopoulos,1983.0,,,3
10.1016/0896-6273(93)90304-a,Neural Darwinism: Selection and reentrant signaling in higher brain function,Gerald M. Edelman,1993.0,,,3
10.1016/0306-4522(89)90353-9,Interactions between the amygdala and ventral striatum in stimulus-reward associations: Studies using a second-order schedule of sexual reinforcement,B.J. Everitt; M. Cador; T.W. Robbins,1989.0,,,3
10.1016/0006-8993(87)90988-7,Activity of A9 and A10 dopaminergic neurons in unrestrained rats: further characterization and effects of apomorphine and cholecystokinin,Arthur S. Freeman; Benjamin S. Bunney,1987.0,,,3
10.1038/scientificamerican1269-98,How an Instinct is Learned,Jack P. Hailman,1969.0,,,3
10.1016/s0079-6123(08)63818-2,Noradrenergic and locus coeruleus modulation of the perforant path-evoked potential in rat dentate gyrus supports a role for the locus coeruleus in attentional and memorial processes,C. Harley,1991.0,,,3
10.1152/physrev.1992.72.1.165,Structure and function of the brain serotonin system,B. L. Jacobs; E. C. Azmitia,1992.0,,,3
10.1016/s0079-6123(08)63837-6,Adrenergic regulation of visuocortical plasticity: a role of the locus coeruleus system,T. Kasamatsu,1991.0,,,3
10.1016/0006-8993(91)90140-q,Modulation of synaptic plasticity in the dentate gyrus of the rat by electrical stimulation of the median raphe nucleus,Joseph M. Klancˇnik; Anthony G. Phillips,1991.0,,,3
10.1152/jn.1992.67.1.145,Responses of monkey dopamine neurons during learning of behavioral reactions,T. Ljungberg; P. Apicella; W. Schultz,1992.0,,,3
10.1002/cne.902140206,"Cholinergic innervation of cortex by the basal forebrain: Cytochemistry and cortical connections of the septal area, diagonal band nuclei, nucleus basalis (Substantia innominata), and hypothalamus in the rhesus monkey",M.‐Marsel Mesulam; Elliott J. Mufson; Allan I. Levey; Bruce H. Wainer,1983.0,,,3
10.1016/0006-8993(89)90210-2,Acetylcholine produces stimulus-specific receptive field alterations in cat auditory cortex,Raju Metherato; Norman M. Weinberger,1989.0,,,3
10.1016/0014-4886(76)90089-3,Modulation during learning of the responses of neurons in the lateral hypothalamus to the sight of food,F. Mora; E.T. Rolls; M.J. Burton,1976.0,,,3
10.1016/s0079-6123(08)63051-4,Chapter 8 Contributions of the amygdalar complex to behavior in macaque monkeys,Elisabeth A. Murray,1991.0,,,3
10.1016/0165-0173(87)90011-7,Ventral tegmental (A10) system: neurobiology. 1. Anatomy and connectivity,R.D. Oades; G.M. Halliday,1987.0,,,3
10.1016/0091-3057(83)90261-7,A comparison of the subjective and cardiovascular effects of cocaine and lidocaine in humans,Marian W. Fischman; Charles R. Schuster; Yoshio Hatano,1983.0,,,3
10.1016/0006-8993(81)90177-3,Reward and detection thresholds for brain stimulation: dissociative effects of cocaine,Conan Kornetsky; Ralph U. Esposito,1981.0,,,3
10.1007/bf00421062,Inhibition of d-amphetamine-induced locomotor activity by injection of haloperidol into the nucleus accumbens of the rat,A. J. J. Pijnenburg; W. M. M. Honig; J. M. Van Rossum,1975.0,,,3
10.1016/0006-8993(75)90233-4,Amphetamine and apomorphine responses in the rat following 6-OHDA lesions of the nucleus accumbens septi and corpus striatum,Peter H. Kelly; Paul W. Seviour; Susan D. Iversen,1975.0,,,3
10.1016/0014-2999(76)90352-6,Selective 60HDA-induced destruction of mesolimbic dopamine neurons: Abolition of psychostimulant-induced locomotor activity in rats,Peter H. Kelly; Susan D. Iversen,1976.0,,,3
10.1007/bf00426456,"Amphetamine-, scopolamine- and caffeine-induced locomotor activity following 6-hydroxydopamine lesions of the mesolimbic dopamine system",Eileen M. Joyce; George F. Koob,1981.0,,,3
10.1016/0091-3057(85)90574-x,"Separate neural substrates of the locomotor-activating properties of amphetamine, heroin, caffeine and Corticotropin Releasing Factor (CRF) in the rat",N.R. Swerdlow; G.F. Koob,1985.0,,,3
10.1037/h0058775,Positive reinforcement produced by electrical stimulation of septal area and other regions of rat brain.,James Olds; Peter Milner,1954.0,,,3
10.1016/0022-3956(71)90033-1,Quantitative hedonism,R.J. Herrnstein,1971.0,,,3
10.1016/0006-8993(77)91015-0,Effects ofd-amphetamine on concurrent self-stimulation of forebrain and brain stem loci,G.F. Koob; G.D. Winger; J.L. Meyerhoff; Z. Annau,1977.0,,,3
10.1037/h0040694,Problems of measurement and interpretation with reinforcing brain stimulation.,Elliot S. Valenstein,1964.0,,,3
10.3758/bf03326894,Methamphetamine lowers self-stimulation thresholds,Solomon S. Steiner; Susan N. Stokely,1973.0,,,3
10.1016/0091-3057(84)90104-7,Pimozide and amphetamine have opposing effects on the reward summation function,C.R. Gallistel; David Karras,1984.0,,,3
10.1016/0006-8993(89)91400-5,Regional neuroleptic microinjections indicate a role for nucleus accumbens in lateral hypothalamic self-stimulation reward,James R. Stellar; Dale Corbett,1989.0,,,3
10.1126/science.1114313,Increased Lever Pressing for Amphetamine After Pimozide in Rats: Implications for a Dopamine Theory of Reward,Robert A. Yokel; Roy A. Wise,1975.0,,,3
10.1007/bf00428151,Heroin and cocaine intravenous self-administration in rats: Mediation by separate neural systems,Aaron Ettenberg; Hugh O. Pettit; Floyd E. Bloom; George F. Koob,1982.0,,,3
10.1016/0304-3940(87)90451-4,The D1 dopamine receptor antagonist SCH 23390 increases cocaine self-administration in the rat,George F. Koob; Hoang Thai Le; Ian Creese,1987.0,,,3
10.1016/0091-3057(89)90019-1,The effects of a D1 and a D2 dopamine antagonist on behavior maintained by cocaine or food,William L. Woolverton; Robert M. Virus,1989.0,,,3
10.1097/00008877-199000140-00009,Antagonism of cocaine self-administration by selective dopamine D1 and D2 antagonists,J. Bergman; J. B. Kamien; R. D. Spealman,1990.0,,,3
10.1016/0091-3057(80)90166-5,Extinction and recovery of cocaine self-administration following 6-hydroxydopamine lesions of the nucleus accumbens,D.C.S. Roberts; G.F. Koob; P. Klonoff; H.C. Fibiger,1980.0,,,3
10.1016/0091-3057(75)90091-x,A method of direct chemical brain stimulation in behavioral studies using microiontophoresis,George K. Aghajanian; Michael Davis,1975.0,,,3
10.1037/0735-7044.104.1.177,Reinforcing properties of ejaculation in the male rat: Role of opioids and dopamine.,Anders Ågmo; Roxanne Berenfeld,1990.0,,,3
10.1016/0091-3057(86)90092-4,Single-trial conditioned place preference using intravenous morphine,M.T. Bardo; J.L. Neisewander,1986.0,,,3
10.1016/0091-3057(74)90085-9,Self-injection of apomorphine in the rat: Positive reinforcement by a dopamine receptor stimulant,Bruce L. Baxter; Melvin I. Gluckman; Larry Stein; Rosemary A. Scerni,1974.0,,,3
10.1016/0091-3057(76)90205-7,Apomorphine self-injection is not affected by alpha-methylparatyrosine treatment: Support for dopaminergic reward,Bruce L. Baxter; Melvyn I. Gluckman; Rosemary A. Scerni,1976.0,,,3
10.1037/h0083703,Morphine addiction in rats.,Horace D. Beach,1957.0,,,3
10.1523/jneurosci.09-10-03400.1989,The tegmental pedunculopontine nucleus: a brain-stem output of the limbic system critical for the conditioned place preferences produced by morphine and amphetamine,A Bechara; D van der Kooy,1989.0,,,3
10.1038/266556a0,Enkephalin may mediate euphoria and drive-reduction reward,JAMES D. BELLUZZI; LARRY STEIN,1977.0,,,3
10.1007/bf00433088,The effects of pipradrol on the acquisition of responding with conditioned reinforcement: A role for sensory preconditioning,Richard J. Beninger; Dale R. Hanson; Anthony G. Phillips,1980.0,,,3
10.1016/0014-2999(90)90540-m,Complex interaction of cocaine with the dopamine uptake carrier,Paul Berger; John D. Elsworth; Maarten E.A. Reith; David Tanen; Robert H. Roth,1990.0,,,3
10.1037/h0036330,"A motivational view of learning, performance, and behavior modification.",Dalbir Bindra,1974.0,,,3
10.1037/h0033120,"Reinforcement, expectancy, and learning.",Robert C. Bolles,1972.0,,,3
10.1016/0006-8993(87)91327-8,Neuroanatomical boundaries of the reward-relevant opiate-receptor field in the ventral tegmental area as mapped by the conditioned place preference method in rats,Michael A. Bozarth,1987.0,,,3
10.1007/978-1-4612-4812-5_14,Conditioned Place Preference: A Parametric Analysis Using Systemic Heroin Injections,Michael A. Bozarth,1987.0,,,3
10.1016/0165-0270(80)90016-3,Electrolytic microinfusion transducer system: an alternative method of intracranial drug application,Michael A. Bozarth; Roy A. Wise,1980.0,,,3
10.1016/0024-3205(81)90148-x,Intracranial self-administration of morphine into the ventral tegmental area in rats,Michael A. Bozarth; Roy A. Wise,1981.0,,,3
10.1126/science.6324347,Anatomically Distinct Opiate Receptor Fields Mediate Reward and Physical Dependence,Michael A. Bozarth; Roy A. Wise,1984.0,,,3
10.1016/0006-8993(81)90962-8,Opiate rewarding action: independence of the cells of the lateral hypothalamus,Michael D. Britt; Roy A. Wise,1981.0,,,3
10.1016/0006-8993(83)91232-5,Ventral tegmental site of opiate reward: Antagonism by a hydrophilic opiate receptor blocker,Michael D. Britt; Roy A. Wise,1983.0,,,3
10.1111/j.1471-4159.1989.tb09224.x,"Differential Effect of Stress on In Vivo Dopamine Release in Striatum, Nucleus Accumbens, and Medial Frontal Cortex",Elizabeth D. Abercrombie; Kristen A. Keefe; Daniel S. DiFrischia; Michael J. Zigmond,1989.0,,,3
10.1016/0304-3940(90)90141-u,A10 somatodendritic dopamine autoreceptor sensitivity following withdrawal from repeated cocaine treatment,Janice M. Ackerman; Francis J. White,1990.0,,,3
10.1111/j.1471-4159.1992.tb10033.x,Depression of Mesolimbic Dopamine Transmission and Sensitization to Morphine During Opiate Abstinence,Elio Acquas; Gaetano Di Chiara,1992.0,,,3
10.1097/00008877-199410000-00001,D1 receptor blockade stereospecifically impairs the acquisition of drug-conditioned place preference and place aversion,E. Acquas; G. Di Chiara,1994.0,,,3
10.1007/bf00442800,SCH 23390 blocks drug-conditioned place-preference and place-aversion: anhedonia (lack of reward) or apathy (lack of motivation) after dopamine-receptor blockade?,E. Acquas; E. Carboni; P. Leone; G. Di Chiara,1989.0,,,3
10.1016/0014-2999(91)90214-b,Profound depression of mesolimbic dopamine release after morphine withdrawal in dependent rats,Elio Acquas; Ezio Carboni; Gaetano Di Chiara,1991.0,,,3
10.1097/00008877-199308000-00009,Controlling interindividual differences in the unconditioned response to amphetamine in the study of environment-dependent sensitization,S. H. Ahmed; L Stinus; M. Le Moal; M. Cador,1993.0,,,3
10.1016/0006-8993(89)90251-5,"Subchronic cocaine treatment enhances cocaine-induced dopamine efflux, studied by in vivo intracerebral dialysis",Kiyoshi Akimoto; Takashi Hamamura; Saburo Otsuki,1989.0,,,3
10.1146/annurev.ne.09.030186.002041,Parallel Organization of Functionally Segregated Circuits Linking Basal Ganglia and Cortex,G E Alexander; M R DeLong; P L Strick,1986.0,,,3
10.1016/0306-4522(88)90217-5,"New perspectives in basal forebrain organization of special relevance for neuropsychiatric disorders: The striatopallidal, amygdaloid, and corticopetal components of substantia innominata",G.F. Alheid; L. Heimer,1988.0,,,3
10.1016/0091-3057(85)90014-0,Low doses of methylnaloxonium in the nucleus accumbens antagonize hyperactivity induced by heroin in the rat,M. Amalric; G.F. Koob,1985.0,,,3
10.1126/science.7188649,Interchangeability of Stress and Amphetamine in Sensitization,Seymour M. Antelman; Alan J. Eichler; Cynthia A. Black; Donna Kocan,1980.0,,,3
10.1016/0091-3057(85)90372-7,Failure to establish a conditioned place preference with ethanol in rats,K.E. Asin; D. Wirtshafter; B. Tabakoff,1985.0,,,3
10.1007/bf00429279,Behavioural and pharmacological studies on morphine-induced excitation of rats. Possible relation to brain catecholamines,I. H. Ayhan; A. Randrup,1973.0,,,3
10.1111/j.1476-5381.1972.tb06866.x,Time‐dose relationships for locomotor activity effects of morphine after acute or repeated treatment,M. BABBINI; W. M. DAVIS,1972.0,,,3
10.1016/0028-3908(75)90129-x,Persistence of chronic morphine effects upon activity in rats 8 months after ceasing the treatment,M. Babbini; M. Gaiardi; M. Bartoletti,1975.0,,,3
10.1016/0031-9384(86)90409-9,Hedonic reactivity to sucrose in rats: Modification by pimozide,Catherine S. Bailey; Sigmund Hsiao; James E. King,1986.0,,,3
10.1016/0091-3057(89)90298-0,Evidence that the increased anxiety detected in the elevated plus-maze during chlordiazepoxide withdrawal is not due to enhanced noradrenergic activity,Helen A. Baldwin; Paul K. Hitchcott; Sandra E. File,1989.0,,,3
10.1038/npp.1993.3,Rapid Induction of Conditioned Opiate Withdrawal in the Rat,Helen A. Baldwin; George F. Koob,1993.0,,,3
10.1007/bf02244208,CRF antagonist reverses the “anxiogenic” response to ethanol withdrawal in the rat,Helen A. Baldwin; Stefanie Rassnick; Jean Rivier; George F. Koob; Karen T. Britton,1991.0,,,3
10.1016/0014-2999(70)90006-3,Receptor activity and turnover of dopamine and noradrenaline after neuroleptics,Nils-Erik Andén; Sherrel G. Butcher; Hans Corrodi; Kjell Fuxe; Urban Ungerstedt,1970.0,,,3
10.1016/0006-8993(70)90186-1,Depletion of catecholaminesin vivo induced by electrical stimulation of central monoamine pathways,Gordon W. Arbuthnott; Timothy J. Crow; Kjell Fuxe; Lars Olson; Urban Ungerstedt,1970.0,,,3
10.1016/0006-2952(73)90147-0,"Selectivity of release of norepinephrine, dopamine and 5-hydroxytryptamine by amphetamine in various regions of rat brain",A.J. Azzaro; C.O. Rutledge,1973.0,,,3
10.1111/j.1476-5381.1971.tb07177.x,Effect of 6‐hydroxydopamine on electrical self stimulation of the brain,G. R. BREESE; J. L. HOWARD; J. P. LEAHY,1971.0,,,3
10.1016/0006-8993(74)90647-7,Ascending monoamine-containing fiber pathways related to intracranial self-stimulation: Histochemical fluorescence study,Ronald M. Clavier; Aryeh Routtenberg,1974.0,,,3
10.1016/0006-8993(72)90734-2,A map of the rat mesencephalon for electrical self-stimulation,T.J. Crow,1972.0,,,3
10.1016/0006-8993(72)90735-4,Intracranial self-stimulation with electrodes in the region of the locus coeruleus,T.J. Crow; P.J. Spear; G.W. Arbuthnott,1972.0,,,3
10.1016/0024-3205(66)90006-3,Importance du systeme mesencephalo-telencephalique noradrenergique comme substratum anatomique du comportement d'autostimulation,Alb. Dresse,1966.0,,,3
10.1007/bf00403900,Mode of action of apomorphine and dexamphetamine on gnawing compulsion in rats,A. M. Ernst,1967.0,,,3
10.1111/j.1476-5381.1973.tb08194.x,Attenuation of amphetamine‐induced motor stimulation and stereotypy by 6‐hydroxydopamine in the rat,H. C. FIBIGER; H. P. FIBIGER; A. P. ZIS,1973.0,,,3
10.1016/0028-3908(73)90120-2,Uptake of [3H]-catecholamines by homogenates of rat corpus striatum and cerebral cortex: Effects of amphetamine analogues,Jane E. Harris; R.J. Baldessarinig,1973.0,,,3
10.1007/bf00505669,Effects on self-stimulation behavior of drugs influencing dopaminergic neurotransmission mechanisms,Jeffrey M. Liebman; Larry L. Butcher,1973.0,,,3
10.1126/science.179.4073.575,"Dopaminergic and Noradrenergic Substrates of Positive Reinforcement: Differential Effects of
            <i>d</i>
            - and
            <i>l</i>
            -Amphetamine",Anthony G. Phillips; Hans C. Fibiger,1973.0,,,3
10.1016/0024-3205(63)90087-0,Norepinephrine: A possible excitatory neurohormone of the reward system,B.P.H. Poschel; F.W. Ninteman,1963.0,,,3
10.1037/h0035289,Self-stimulation of noradrenergic cell group (A6) in locus coeruleus of rats.,Sue Ritter; Larry Stein,1973.0,,,3
10.1016/0006-8993(71)90182-x,Contrasting effects of hypothalamic and nucleus accumbens septi self-stimulation on brain stem single unit activity and cortical arousal,Edmund T. Rolls,1971.0,,,3
10.1016/0014-4886(74)90089-2,Connection between the prefrontal cortex and pontine brain-stimulation reward sites in the rat,Edmund T. Rolls; Steven J. Cooper,1974.0,,,3
10.1037/h0027655,Brainstem pathways of reward.,Aryeh Routtenberg; Charles Malsbury,1969.0,,,3
10.1016/0014-2999(72)90132-x,"Behavioural and biochemical comparison of amphetamine derivatives, cocaine, benztropine and tricyclic anti-depressant drugs",Jørgen Scheel-Krüger,1972.0,,,3
10.1016/0006-8993(76)90078-0,Dopaminergic innervation of the rat prefrontal cortex: A fluorescence histochemical study,B. Berger; A.M. Thierry; J.P. Tassin; M.A. Moyne,1976.0,,,3
10.1111/j.1471-4159.1974.tb06061.x,ACCUMULATION AND DISAPPEARANCE OF NORADRENALINE AND ITS MAJOR METABOLITES SYNTHESIZED FROM INTRAVENTRICULARLY INJECTED [<sup>3</sup>H]DOPAMINE IN THE RAT BRAIN,C. Braestrup; M. Nielsen; J. Scheel‐Krüger,1974.0,,,3
10.1038/254439a0,Anaesthetisation of prefrontal cortex and response to noxious stimulation,STEVEN J. COOPER,1975.0,,,3
10.1016/s0021-9673(01)96577-x,"Quantitative thin-layer chromatographic estimation of labeled dopamine and norepinephrine, their precursors and metabolites",Robert M. Fleming; William G. Clark,1970.0,,,3
10.1016/0006-8993(74)90618-0,The origin of the dopamine nerve terminals in limbic and frontal cortex. Evidence for meso-cortico dopamine neurons,K. Fuxe; T. Hökfelt; O. Johansson; G. Jonsson; P. Lidbrink; Å. Ljundahl,1974.0,,,3
10.1126/science.184.4133.177,Dopamine Nerve Terminals in the Rat Limbic Cortex: Aspects of the Dopamine Hypothesis of Schizophrenia,T. Hkfelt; . Ljungdahl; K. Fuxe; O. Johansson,1974.0,,,3
10.1016/0006-8993(74)90947-0,Mesencephalic dopamine neurons projecting to neocortex,Olle Lindvall; Anders Björklund; Robert Y. Moore; Ulf Stenevi,1974.0,,,3
10.1152/ajplegacy.1975.229.6.1547,Evoked release of [14C]norepinephrine from the rat hypothalamus during feeding,GE Martin; RD Myers,1975.0,,,3
10.1016/0006-8993(76)90500-x,Spontaneous firing rate of neurones in the prefrontal cortex of the rat: evidence for a dopaminergic inhibition,F. Mora; K.F. Sweeney; E.T. Rolls; A.M. Sanguinetti,1976.0,,,3
10.1016/0361-9230(76)90110-6,Prefrontal cortex and neostriatum self-stimulation in the rat: Differential effects produced by apomorphine,F. Mora; A.G. Phillips; J.M. Koolhaas; E.T. Rolls,1976.0,,,3
10.1016/0091-3057(76)90018-6,Effects of dopamine-receptor blockade on self-stimulation in the monkey,F. Mora; E.T. Rolls; M.J. Burton; S.G. Shaw,1976.0,,,3
10.1016/0361-9230(77)90006-5,"In vivo neurochemical analysis, by push-pull perfusion, of the mesocortical dopaminergic system of the rat during self-stimulation",R.D. Myers; F. Mora,1977.0,,,3
10.1016/0006-8993(76)90615-6,Dopaminergic substrates of intracranial self-stimulation in the caudate-putamen,Anthony G. Phillips; David A. Carter; Hans C. Fibiger,1976.0,,,3
10.1016/0006-8993(73)90795-6,Activation of neurones in the prefrontal cortex by brain-stimulation reward in the rat,Edmund T. Rolls; Steven J. Cooper,1973.0,,,3
10.1016/s0091-6773(72)80218-9,Self-stimulation in the frontal cortex of rattus norvegicus,Aryeh Routtenberg; Michael Sloan,1972.0,,,3
10.1037/h0030927,Forebrain pathways of reward in Rattus norvegicus.,Aryeh Routtenberg,1971.0,,,3
10.1016/0006-8993(76)90797-6,Stimulation of rat medial or sulcal prefontal cortex during passive avoidance learning selectively influences retention performance,Rebecca M. Santos-Anderson; Aryeh Routtenberg,1976.0,,,3
10.1126/science.184.4143.1243,"Drugs, Neurotransmitters, and Schizophrenia",Solomon H. Snyder; Shailesh P. Banerjee; Henry I. Yamamura; David Greenberg,1974.0,,,3
